x,y,X,Y,Z
4.179314347309433515e+02,1.490376876496415207e+03,0.000000000000000000e+00,8.000000000000000000e+01,1.050000000000000000e+03
4.689702195783744401e+02,1.491228788215565146e+03,4.000000000000000000e+01,8.000000000000000000e+01,1.050000000000000000e+03
5.205412062595845555e+02,1.492089583159120139e+03,8.000000000000000000e+01,8.000000000000000000e+01,1.050000000000000000e+03
5.726527626242693714e+02,1.492959400998689034e+03,1.200000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
6.253134328708190424e+02,1.493838384349398439e+03,1.600000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
6.785319422165086962e+02,1.494726678847843459e+03,2.000000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
7.323172017168986940e+02,1.495624433232531146e+03,2.400000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
7.866783132400282739e+02,1.496531799426906900e+03,2.800000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
8.416245746012416475e+02,1.497448932625062525e+03,3.200000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
8.971654848647214067e+02,1.498375991380225969e+03,3.600000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
9.533107498180909261e+02,1.499313137696141212e+03,4.000000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.010070287626699383e+03,1.500260537121445623e+03,4.400000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.067454234674519284e+03,1.501218358847163927e+03,4.800000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.125472951598872896e+03,1.502186775807435424e+03,5.200000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.184137029526541482e+03,1.503165964783605432e+03,5.600000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.243457296519132342e+03,1.504156106511806001e+03,6.000000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.303444824235950819e+03,1.505157385794170523e+03,6.400000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.364110934822982472e+03,1.506169991613820002e+03,6.800000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.425467208036992588e+03,1.507194117253774721e+03,7.200000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.487525488614156302e+03,1.508229960419947702e+03,7.600000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.550297893893065748e+03,1.509277723368383704e+03,8.000000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.613796821702426769e+03,1.510337613036916537e+03,8.400000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
