x,y,X,Y,Z
7.001308366896673760e+02,1.480859518823524468e+03,0.000000000000000000e+00,8.000000000000000000e+01,7.000000000000000000e+02
7.479948410560568846e+02,1.481591164240230682e+03,4.000000000000000000e+01,8.000000000000000000e+01,7.000000000000000000e+02
7.963136391607455380e+02,1.482329761598350387e+03,8.000000000000000000e+01,8.000000000000000000e+01,7.000000000000000000e+02
8.450937439783731406e+02,1.483075410454703160e+03,1.200000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
8.943417934407378880e+02,1.483828212276193881e+03,1.600000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
9.440645534480029255e+02,1.484588270485841804e+03,2.000000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
9.942689209674074391e+02,1.485355690510147042e+03,2.400000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.044961927222450640e+03,1.486130579827840847e+03,2.800000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.096150740975658664e+03,1.486913048020064480e+03,3.200000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.147842671908140346e+03,1.487703206822030552e+03,3.600000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.200045174099290534e+03,1.488501170176211872e+03,4.000000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.252765849610109626e+03,1.489307054287116443e+03,4.400000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.306012452173765269e+03,1.490120977677701376e+03,4.800000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.359792890997152426e+03,1.490943061247483456e+03,5.200000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.414115234677374247e+03,1.491773428332404592e+03,5.600000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.468987715237207112e+03,1.492612204766519426e+03,6.000000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.524418732283800182e+03,1.493459518945564014e+03,6.400000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.580416857295010459e+03,1.494315501892476959e+03,6.800000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.636990838037979529e+03,1.495180287324940309e+03,7.200000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.694149603124724308e+03,1.496054011725017062e+03,7.600000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.751902266709732658e+03,1.496936814410958277e+03,8.000000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.810258133334753893e+03,1.497828837611258905e+03,8.400000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.869226702926187500e+03,1.498730226541048978e+03,8.800000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.928817675950716421e+03,1.499641129480901554e+03,9.200000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.989040958735053664e+03,1.500561697858149500e+03,9.600000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
7.008179260753520339e+02,1.425066230664157956e+03,0.000000000000000000e+00,1.200000000000000000e+02,7.000000000000000000e+02
7.486480288634614908e+02,1.425533698281511533e+03,4.000000000000000000e+01,1.200000000000000000e+02,7.000000000000000000e+02
