x,y,X,Y,Z
5.868028034374889330e+02,1.451005702407688887e+03,0.000000000000000000e+00,8.000000000000000000e+01,7.000000000000000000e+02
6.478985776794635285e+02,1.450310203259098898e+03,4.000000000000000000e+01,8.000000000000000000e+01,7.000000000000000000e+02
7.084035090074089567e+02,1.449621430119774686e+03,8.000000000000000000e+01,8.000000000000000000e+01,7.000000000000000000e+02
7.683261270324144334e+02,1.448939285890738347e+03,1.200000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
8.276747979699896405e+02,1.448263675333066203e+03,1.600000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
8.864577285339796617e+02,1.447594505023562306e+03,2.000000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
9.446829697196533289e+02,1.446931683311692495e+03,2.400000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.002358420479624556e+03,1.446275120277738097e+03,2.800000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.059491831296135160e+03,1.445624727692130818e+03,3.200000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.116090807653089541e+03,1.444980418975927023e+03,3.600000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.172162813411109482e+03,1.444342109162387715e+03,4.000000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.227715174088754566e+03,1.443709714859625365e+03,4.400000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.282755080052937728e+03,1.443083154214285969e+03,4.800000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.337289589621453388e+03,1.442462346876229276e+03,5.200000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.391325632080432342e+03,1.441847213964179673e+03,5.600000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.444870010619428285e+03,1.441237678032313852e+03,6.000000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.497929405186751865e+03,1.440633663037755923e+03,6.400000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.550510375267565678e+03,1.440035094308953148e+03,6.800000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.602619362587169462e+03,1.439441898514901368e+03,7.200000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.654262693741814019e+03,1.438854003635197387e+03,7.600000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.705446582759297598e+03,1.438271338930889215e+03,8.000000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.756177133591528218e+03,1.437693834916101196e+03,8.400000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.806460342541146019e+03,1.437121423330410835e+03,8.800000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.856302100624232708e+03,1.436554037111951402e+03,9.200000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
1.905708195871065982e+03,1.435991610371220531e+03,9.600000000000000000e+02,8.000000000000000000e+01,7.000000000000000000e+02
5.871373714106108537e+02,1.387882888263305176e+03,0.000000000000000000e+00,1.200000000000000000e+02,7.000000000000000000e+02
6.481812853824083049e+02,1.387494414811665365e+03,4.000000000000000000e+01,1.200000000000000000e+02,7.000000000000000000e+02
7.086353410315101655e+02,1.387109695121599543e+03,8.000000000000000000e+01,1.200000000000000000e+02,7.000000000000000000e+02
7.685080468206560909e+02,1.386728675046647140e+03,1.200000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
8.278077483542249411e+02,1.386351301476751132e+03,1.600000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
8.865426322562165069e+02,1.385977522313580039e+03,2.000000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
9.447207299379491587e+02,1.385607286446549779e+03,2.400000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
1.002349921259111284e+03,1.385240543729526735e+03,2.800000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
1.059437938085674659e+03,1.384877244958184292e+03,3.200000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
1.115992367748045581e+03,1.384517341847996704e+03,3.600000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
1.172020656402695295e+03,1.384160787012846413e+03,4.000000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
1.227530112300405108e+03,1.383807533944224588e+03,4.400000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
1.282527908964137168e+03,1.383457536991007828e+03,4.800000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
1.337021088279428568e+03,1.383110751339792614e+03,5.200000000000000000e+02,1.200000000000000000e+02,7.000000000000000000e+02
