x,y,X,Y,Z
9.610579107766170637e+02,8.108305076546405417e+02,0.000000000000000000e+00,8.000000000000000000e+01,3.500000000000000000e+02
1.001489948271868798e+03,8.195081436462112379e+02,4.000000000000000000e+01,8.000000000000000000e+01,3.500000000000000000e+02
1.042198744676110209e+03,8.282451784021876620e+02,8.000000000000000000e+01,8.000000000000000000e+01,3.500000000000000000e+02
1.083187151386959158e+03,8.370422238974331322e+02,1.200000000000000000e+02,8.000000000000000000e+01,3.500000000000000000e+02
1.124458059106938663e+03,8.458999005425378073e+02,1.600000000000000000e+02,8.000000000000000000e+01,3.500000000000000000e+02
1.166014398523062255e+03,8.548188373296738973e+02,2.000000000000000000e+02,8.000000000000000000e+01,3.500000000000000000e+02
1.207859141000570389e+03,8.637996719814887001e+02,2.400000000000000000e+02,8.000000000000000000e+01,3.500000000000000000e+02
1.249995299291161245e+03,8.728430511031046990e+02,2.800000000000000000e+02,8.000000000000000000e+01,3.500000000000000000e+02
1.292425928256067664e+03,8.819496303373095998e+02,3.200000000000000000e+02,8.000000000000000000e+01,3.500000000000000000e+02
1.335154125604349929e+03,8.911200745230107714e+02,3.600000000000000000e+02,8.000000000000000000e+01,3.500000000000000000e+02
1.378183032646773427e+03,9.003550578570345806e+02,4.000000000000000000e+02,8.000000000000000000e+01,3.500000000000000000e+02
1.421515835065661349e+03,9.096552640593542947e+02,4.400000000000000000e+02,8.000000000000000000e+01,3.500000000000000000e+02
1.465155763701116484e+03,9.190213865418305659e+02,4.800000000000000000e+02,8.000000000000000000e+01,3.500000000000000000e+02
1.509106095354018635e+03,9.284541285805535153e+02,5.200000000000000000e+02,8.000000000000000000e+01,3.500000000000000000e+02
1.553370153606218537e+03,9.379542034918754325e+02,5.600000000000000000e+02,8.000000000000000000e+01,3.500000000000000000e+02
1.597951309658358241e+03,9.475223348122253810e+02,6.000000000000000000e+02,8.000000000000000000e+01,3.500000000000000000e+02
1.642852983185764970e+03,9.571592564818030269e+02,6.400000000000000000e+02,8.000000000000000000e+01,3.500000000000000000e+02
1.688078643212867064e+03,9.668657130322503690e+02,6.800000000000000000e+02,8.000000000000000000e+01,3.500000000000000000e+02
1.733631809006609728e+03,9.766424597783967556e+02,7.200000000000000000e+02,8.000000000000000000e+01,3.500000000000000000e+02
1.779516050989352834e+03,9.864902630141880309e+02,7.600000000000000000e+02,8.000000000000000000e+01,3.500000000000000000e+02
1.825734991671738044e+03,9.964099002129030396e+02,8.000000000000000000e+02,8.000000000000000000e+01,3.500000000000000000e+02
1.872292306606053444e+03,1.006402160231764356e+03,8.400000000000000000e+02,8.000000000000000000e+01,3.500000000000000000e+02
1.919191725360609098e+03,1.016467843521063628e+03,8.800000000000000000e+02,8.000000000000000000e+01,3.500000000000000000e+02
1.966437032515672854e+03,1.026607762337911026e+03,9.200000000000000000e+02,8.000000000000000000e+01,3.500000000000000000e+02
2.014032068681522560e+03,1.036822740964733612e+03,9.600000000000000000e+02,8.000000000000000000e+01,3.500000000000000000e+02
9.597419585291070234e+02,7.696012445660320509e+02,0.000000000000000000e+00,1.200000000000000000e+02,3.500000000000000000e+02
1.000347976115932738e+03,7.781759407585782355e+02,4.000000000000000000e+01,1.200000000000000000e+02,3.500000000000000000e+02
1.041233174748105967e+03,7.868095910862216442e+02,8.000000000000000000e+01,1.200000000000000000e+02,3.500000000000000000e+02
1.082400443563428098e+03,7.955028056427455567e+02,1.200000000000000000e+02,1.200000000000000000e+02,3.500000000000000000e+02
1.123852711702467104e+03,8.042562029692428496e+02,1.600000000000000000e+02,1.200000000000000000e+02,3.500000000000000000e+02
1.165592949003306103e+03,8.130704102008232894e+02,2.000000000000000000e+02,1.200000000000000000e+02,3.500000000000000000e+02
1.207624166710821555e+03,8.219460632163909395e+02,2.400000000000000000e+02,1.200000000000000000e+02,3.500000000000000000e+02
1.249949418200847276e+03,8.308838067915655756e+02,2.800000000000000000e+02,1.200000000000000000e+02,3.500000000000000000e+02
1.292571799719589762e+03,8.398842947548222355e+02,3.200000000000000000e+02,1.200000000000000000e+02,3.500000000000000000e+02
1.335494451138670001e+03,8.489481901469322338e+02,3.600000000000000000e+02,1.200000000000000000e+02,3.500000000000000000e+02
1.378720556726181258e+03,8.580761653837869289e+02,4.000000000000000000e+02,1.200000000000000000e+02,3.500000000000000000e+02
1.422253345934155050e+03,8.672689024226842776e+02,4.400000000000000000e+02,1.200000000000000000e+02,3.500000000000000000e+02
1.466096094202851873e+03,8.765270929321696940e+02,4.800000000000000000e+02,1.200000000000000000e+02,3.500000000000000000e+02
1.510252123782289800e+03,8.858514384655176173e+02,5.200000000000000000e+02,1.200000000000000000e+02,3.500000000000000000e+02
1.554724804571449113e+03,8.952426506379431430e+02,5.600000000000000000e+02,1.200000000000000000e+02,3.500000000000000000e+02
1.599517554975594521e+03,9.047014513076427420e+02,6.000000000000000000e+02,1.200000000000000000e+02,3.500000000000000000e+02
1.644633842782177226e+03,9.142285727607553554e+02,6.400000000000000000e+02,1.200000000000000000e+02,3.500000000000000000e+02
1.690077186055783386e+03,9.238247579003485725e+02,6.800000000000000000e+02,1.200000000000000000e+02,3.500000000000000000e+02
1.735851154052616266e+03,9.334907604395268663e+02,7.200000000000000000e+02,1.200000000000000000e+02,3.500000000000000000e+02
1.781959368155013635e+03,9.432273450987722754e+02,7.600000000000000000e+02,1.200000000000000000e+02,3.500000000000000000e+02
1.828405502826509064e+03,9.530352878076223533e+02,8.000000000000000000e+02,1.200000000000000000e+02,3.500000000000000000e+02
1.875193286587970533e+03,9.629153759108014583e+02,8.400000000000000000e+02,1.200000000000000000e+02,3.500000000000000000e+02
1.922326503015359776e+03,9.728684083789131591e+02,8.800000000000000000e+02,1.200000000000000000e+02,3.500000000000000000e+02
1.969808991759671699e+03,9.828951960238200627e+02,9.200000000000000000e+02,1.200000000000000000e+02,3.500000000000000000e+02
2.017644649589632991e+03,9.929965617188296392e+02,9.600000000000000000e+02,1.200000000000000000e+02,3.500000000000000000e+02
9.584143761640686989e+02,7.280076056604322048e+02,0.000000000000000000e+00,1.600000000000000000e+02,3.500000000000000000e+02
9.991958767137257382e+02,7.364771953108729576e+02,4.000000000000000000e+01,1.600000000000000000e+02,3.500000000000000000e+02
1.040259012378023726e+03,7.450052755469959038e+02,8.000000000000000000e+01,1.600000000000000000e+02,3.500000000000000000e+02
1.081606710703892077e+03,7.535924543680378065e+02,1.200000000000000000e+02,1.600000000000000000e+02,3.500000000000000000e+02
1.123241939954446025e+03,7.622393482292590079e+02,1.600000000000000000e+02,1.600000000000000000e+02,3.500000000000000000e+02
1.165167709819303354e+03,7.709465821894650617e+02,2.000000000000000000e+02,1.600000000000000000e+02,3.500000000000000000e+02
1.207387072139827296e+03,7.797147900616280367e+02,2.400000000000000000e+02,1.600000000000000000e+02,3.500000000000000000e+02
1.249903121649654395e+03,7.885446145666776374e+02,2.800000000000000000e+02,1.600000000000000000e+02,3.500000000000000000e+02
1.292718996730892968e+03,7.974367074905528625e+02,3.200000000000000000e+02,1.600000000000000000e+02,3.500000000000000000e+02
1.335837880186374377e+03,8.063917298445837787e+02,3.600000000000000000e+02,1.600000000000000000e+02,3.500000000000000000e+02
1.379263000028357965e+03,8.154103520292912890e+02,4.000000000000000000e+02,1.600000000000000000e+02,3.500000000000000000e+02
1.422997630284101660e+03,8.244932540016909570e+02,4.400000000000000000e+02,1.600000000000000000e+02,3.500000000000000000e+02
1.467045091818718447e+03,8.336411254461838780e+02,4.800000000000000000e+02,1.600000000000000000e+02,3.500000000000000000e+02
1.511408753175753873e+03,8.428546659491300943e+02,5.200000000000000000e+02,1.600000000000000000e+02,3.500000000000000000e+02
1.556092031435930494e+03,8.521345851771962998e+02,5.600000000000000000e+02,1.600000000000000000e+02,3.500000000000000000e+02
1.601098393094521953e+03,8.614816030595679877e+02,6.000000000000000000e+02,1.600000000000000000e+02,3.500000000000000000e+02
1.646431354957825079e+03,8.708964499741323380e+02,6.400000000000000000e+02,1.600000000000000000e+02,3.500000000000000000e+02
1.692094485059222052e+03,8.803798669377283659e+02,6.800000000000000000e+02,1.600000000000000000e+02,3.500000000000000000e+02
1.738091403595328529e+03,8.899326058005667619e+02,7.200000000000000000e+02,1.600000000000000000e+02,3.500000000000000000e+02
1.784425783882749556e+03,8.995554294449315194e+02,7.600000000000000000e+02,1.600000000000000000e+02,3.500000000000000000e+02
1.831101353335967815e+03,9.092491119882710109e+02,8.000000000000000000e+02,1.600000000000000000e+02,3.500000000000000000e+02
1.878121894466915819e+03,9.190144389907898130e+02,8.400000000000000000e+02,1.600000000000000000e+02,3.500000000000000000e+02
1.925491245906793438e+03,9.288522076676623556e+02,8.800000000000000000e+02,1.600000000000000000e+02,3.500000000000000000e+02
1.973213303450710100e+03,9.387632271059865161e+02,9.200000000000000000e+02,1.600000000000000000e+02,3.500000000000000000e+02
2.021292021125748079e+03,9.487483184866024430e+02,9.600000000000000000e+02,1.600000000000000000e+02,3.500000000000000000e+02
9.570750088202773895e+02,6.860447390792585338e+02,0.000000000000000000e+00,2.000000000000000000e+02,3.500000000000000000e+02
9.980335147494581634e+02,6.944070097233854995e+02,4.000000000000000000e+01,2.000000000000000000e+02,3.500000000000000000e+02
1.039276142359246933e+03,7.028272879128370505e+02,8.000000000000000000e+01,2.000000000000000000e+02,3.500000000000000000e+02
1.080805858289531216e+03,7.113061793299998499e+02,1.200000000000000000e+02,2.000000000000000000e+02,3.500000000000000000e+02
1.122625670625779094e+03,7.198442981189754164e+02,1.600000000000000000e+02,2.000000000000000000e+02,3.500000000000000000e+02
1.164738629625345538e+03,7.284422670338647094e+02,2.000000000000000000e+02,2.000000000000000000e+02,3.500000000000000000e+02
1.207147828459109405e+03,7.371007175901838764e+02,2.400000000000000000e+02,2.000000000000000000e+02,3.500000000000000000e+02
1.249856403968815812e+03,7.458202902194885837e+02,2.800000000000000000e+02,2.000000000000000000e+02,3.500000000000000000e+02
1.292867537440512706e+03,7.546016344272800325e+02,3.200000000000000000e+02,2.000000000000000000e+02,3.500000000000000000e+02
1.336184455394485667e+03,7.634454089542821293e+02,3.600000000000000000e+02,2.000000000000000000e+02,3.500000000000000000e+02
1.379810430392099079e+03,7.723522819411714408e+02,4.000000000000000000e+02,2.000000000000000000e+02,3.500000000000000000e+02
1.423748781859969995e+03,7.813229310968415575e+02,4.400000000000000000e+02,2.000000000000000000e+02,3.500000000000000000e+02
1.468002876931909668e+03,7.903580438702990705e+02,4.800000000000000000e+02,2.000000000000000000e+02,3.500000000000000000e+02
1.512576131309079528e+03,7.994583176262776760e+02,5.200000000000000000e+02,2.000000000000000000e+02,3.500000000000000000e+02
1.557472010138828182e+03,8.086244598246631767e+02,5.600000000000000000e+02,2.000000000000000000e+02,3.500000000000000000e+02
1.602694028912676913e+03,8.178571882038324929e+02,6.000000000000000000e+02,2.000000000000000000e+02,3.500000000000000000e+02
1.648245754383950725e+03,8.271572309679991122e+02,6.400000000000000000e+02,2.000000000000000000e+02,3.500000000000000000e+02
1.694130805505549688e+03,8.365253269786752526e+02,6.800000000000000000e+02,2.000000000000000000e+02,3.500000000000000000e+02
1.740352854388384458e+03,8.459622259503480564e+02,7.200000000000000000e+02,2.000000000000000000e+02,3.500000000000000000e+02
1.786915627281008483e+03,8.554686886504861150e+02,7.600000000000000000e+02,2.000000000000000000e+02,3.500000000000000000e+02
