x,y,X,Y,Z
7.468698864138575573e+02,1.461179509094537707e+03,0.000000000000000000e+00,8.000000000000000000e+01,1.050000000000000000e+03
8.139499725376430206e+02,1.460351064712063362e+03,4.000000000000000000e+01,8.000000000000000000e+01,1.050000000000000000e+03
8.803090083155188950e+02,1.459531525358533600e+03,8.000000000000000000e+01,8.000000000000000000e+01,1.050000000000000000e+03
9.459585575572874632e+02,1.458720748219980578e+03,1.200000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.010909938115545174e+03,1.457918593520027571e+03,1.600000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.075174228390347253e+03,1.457124924439555116e+03,2.000000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.138762273628531148e+03,1.456339607038904887e+03,2.400000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.201684692025217373e+03,1.455562510182525784e+03,2.800000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.263951880634703002e+03,1.454793505465972203e+03,3.200000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.325574021097654395e+03,1.454032467145174905e+03,3.600000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.386561085191225175e+03,1.453279272067895363e+03,4.000000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.446922840208459547e+03,1.452533799607289666e+03,4.400000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.506668854173070031e+03,1.451795931597506751e+03,4.800000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.565808500895439010e+03,1.451065552271244769e+03,5.200000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.624350964875457748e+03,1.450342548199202156e+03,5.600000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.682305246057586601e+03,1.449626808231351106e+03,6.000000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.739680164443306694e+03,1.448918223439974099e+03,6.400000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.796484364565930719e+03,1.448216687064398911e+03,6.800000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.852726319832538138e+03,1.447522094457376625e+03,7.200000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.908414336737619124e+03,1.446834343033041478e+03,7.600000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
1.963556558952820069e+03,1.446153332216402760e+03,8.000000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
2.018160971297032575e+03,1.445478963394314405e+03,8.400000000000000000e+02,8.000000000000000000e+01,1.050000000000000000e+03
