3000,15,15,150
3001,30,15,150
3002,45,15,150
3003,60,15,150
3004,75,15,150
3005,90,15,150
3006,105,15,150
3007,120,15,150
3008,135,15,150
3009,150,15,150
3010,165,15,150
3011,180,15,150
3012,195,15,150
3013,210,15,150
3014,225,15,150
3015,240,15,150
3016,255,15,150
3017,270,15,150
3018,285,15,150
3019,15,30,150
3020,30,30,150
3021,45,30,150
3022,60,30,150
3023,75,30,150
3024,90,30,150
3025,105,30,150
3026,120,30,150
3027,135,30,150
3028,150,30,150
3029,165,30,150
3030,180,30,150
3031,195,30,150
3032,210,30,150
3033,225,30,150
3034,240,30,150
3035,255,30,150
3036,270,30,150
3037,285,30,150
3038,15,45,150
3039,30,45,150
3040,45,45,150
3041,60,45,150
3042,75,45,150
3043,90,45,150
3044,105,45,150
3045,120,45,150
3046,135,45,150
3047,150,45,150
3048,165,45,150
3049,180,45,150
3050,195,45,150
3051,210,45,150
3052,225,45,150
3053,240,45,150
3054,255,45,150
3055,270,45,150
3056,285,45,150
3057,15,60,150
3058,30,60,150
3059,45,60,150
3060,60,60,150
3061,75,60,150
3062,90,60,150
3063,105,60,150
3064,120,60,150
3065,135,60,150
3066,150,60,150
3067,165,60,150
3068,180,60,150
3069,195,60,150
3070,210,60,150
3071,225,60,150
3072,240,60,150
3073,255,60,150
3074,270,60,150
3075,285,60,150
3076,15,75,150
3077,30,75,150
3078,45,75,150
3079,60,75,150
3080,75,75,150
3081,90,75,150
3082,105,75,150
3083,120,75,150
3084,135,75,150
3085,150,75,150
3086,165,75,150
3087,180,75,150
3088,195,75,150
3089,210,75,150
3090,225,75,150
3091,240,75,150
3092,255,75,150
3093,270,75,150
3094,285,75,150
3095,15,90,150
3096,30,90,150
3097,45,90,150
3098,60,90,150
3099,75,90,150
3100,90,90,150
3101,105,90,150
3102,120,90,150
3103,135,90,150
3104,150,90,150
3105,165,90,150
3106,180,90,150
3107,195,90,150
3108,210,90,150
3109,225,90,150
3110,240,90,150
3111,255,90,150
3112,270,90,150
3113,285,90,150
3114,15,105,150
3115,30,105,150
3116,45,105,150
3117,60,105,150
3118,75,105,150
3119,90,105,150
3120,105,105,150
3121,120,105,150
3122,135,105,150
3123,150,105,150
3124,165,105,150
3125,180,105,150
3126,195,105,150
3127,210,105,150
3128,225,105,150
3129,240,105,150
3130,255,105,150
3131,270,105,150
3132,285,105,150
3133,15,120,150
3134,30,120,150
3135,45,120,150
3136,60,120,150
3137,75,120,150
3138,90,120,150
3139,105,120,150
3140,120,120,150
3141,135,120,150
3142,150,120,150
3143,165,120,150
3144,180,120,150
3145,195,120,150
3146,210,120,150
3147,225,120,150
3148,240,120,150
3149,255,120,150
3150,270,120,150
3151,285,120,150
3152,15,135,150
3153,30,135,150
3154,45,135,150
3155,60,135,150
3156,75,135,150
3157,90,135,150
3158,105,135,150
3159,120,135,150
3160,135,135,150
3161,150,135,150
3162,165,135,150
3163,180,135,150
3164,195,135,150
3165,210,135,150
3166,225,135,150
3167,240,135,150
3168,255,135,150
3169,270,135,150
3170,285,135,150
3171,15,150,150
3172,30,150,150
3173,45,150,150
3174,60,150,150
3175,75,150,150
3176,90,150,150
3177,105,150,150
3178,120,150,150
3179,135,150,150
3180,150,150,150
3181,165,150,150
3182,180,150,150
3183,195,150,150
3184,210,150,150
3185,225,150,150
3186,240,150,150
3187,255,150,150
3188,270,150,150
3189,285,150,150
3190,15,165,150
3191,30,165,150
3192,45,165,150
3193,60,165,150
3194,75,165,150
3195,90,165,150
3196,105,165,150
3197,120,165,150
3198,135,165,150
3199,150,165,150
3200,165,165,150
3201,180,165,150
3202,195,165,150
3203,210,165,150
3204,225,165,150
3205,240,165,150
3206,255,165,150
3207,270,165,150
3208,285,165,150
3209,15,180,150
3210,30,180,150
3211,45,180,150
3212,60,180,150
3213,75,180,150
3214,90,180,150
3215,105,180,150
3216,120,180,150
3217,135,180,150
3218,150,180,150
3219,165,180,150
3220,180,180,150
3221,195,180,150
3222,210,180,150
3223,225,180,150
3224,240,180,150
3225,255,180,150
3226,270,180,150
3227,285,180,150
3228,15,195,150
3229,30,195,150
3230,45,195,150
3231,60,195,150
3232,75,195,150
3233,90,195,150
3234,105,195,150
3235,120,195,150
3236,135,195,150
3237,150,195,150
3238,165,195,150
3239,180,195,150
3240,195,195,150
3241,210,195,150
3242,225,195,150
3243,240,195,150
3244,255,195,150
3245,270,195,150
3246,285,195,150
3247,15,210,150
3248,30,210,150
3249,45,210,150
3250,60,210,150
3251,75,210,150
3252,90,210,150
3253,105,210,150
3254,120,210,150
3255,135,210,150
3256,150,210,150
3257,165,210,150
3258,180,210,150
3259,195,210,150
3260,210,210,150
3261,225,210,150
3262,240,210,150
3263,255,210,150
3264,270,210,150
3265,285,210,150
3266,15,225,150
3267,30,225,150
3268,45,225,150
3269,60,225,150
3270,75,225,150
3271,90,225,150
3272,105,225,150
3273,120,225,150
3274,135,225,150
3275,150,225,150
3276,165,225,150
3277,180,225,150
3278,195,225,150
3279,210,225,150
3280,225,225,150
3281,240,225,150
3282,255,225,150
3283,270,225,150
3284,285,225,150
3285,15,240,150
3286,30,240,150
3287,45,240,150
3288,60,240,150
3289,75,240,150
3290,90,240,150
3291,105,240,150
3292,120,240,150
3293,135,240,150
3294,150,240,150
3295,165,240,150
